NRO_REGISTRO,FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,GOBIERNO_LOCAL,UBIGEO,DIA_RECORRIDO,MES_RECORRIDO,SEMANA_RECORRIDO,DIA_SEMANA_RECORRIDO,TURNO,UNIDAD,CONDUCTOR,PLACA,NRO_BOLETA,UNIDAD,CANTIDAD,RELLENO_SANITARIO
70,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1919675,TONELADAS,13.8,MODELO DEL CALLAO
71,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,6,ea4e7900b41e83cad4d1fab20c3a9fb7c668e398646a9995a88bd17974156f25,BCP798,1919692,TONELADAS,10.96,MODELO DEL CALLAO
72,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,MAÃ‘ANA,1,66d83cabf4f9da6b3b1683c632de10c984c7deb1246b55118d0f4118d2bf2c26,BNU745,1919843,TONELADAS,9.69,MODELO DEL CALLAO
73,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1919989,TONELADAS,10.35,MODELO DEL CALLAO
74,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1920071,TONELADAS,14.05,MODELO DEL CALLAO
75,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1920029,TONELADAS,12.38,MODELO DEL CALLAO
76,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,NOCHE,3,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BTQ941,1920053,TONELADAS,11.33,MODELO DEL CALLAO
77,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,NOCHE,4,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BFZ705,1920072,TONELADAS,13.29,MODELO DEL CALLAO
78,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240110,202401,2,MIÃ‰RCOLES,NOCHE,5,ea4e7900b41e83cad4d1fab20c3a9fb7c668e398646a9995a88bd17974156f25,BCP798,1920078,TONELADAS,11.24,MODELO DEL CALLAO
79,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240111,202401,2,JUEVES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU789,1920149,TONELADAS,10.09,MODELO DEL CALLAO
80,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240111,202401,2,JUEVES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1920362,TONELADAS,12.89,MODELO DEL CALLAO
